ref,value,current_package,assembly,target,condition,implementation
C101,4.7uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C102,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C103,4.7uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C104,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C105,4.7uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C106,470nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C107,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C108,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C109,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C110,10uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C111,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C120,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C121,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C122,4.7uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C123,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C124,4.7uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C125,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C126,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C127,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C128,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C129,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C130,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C131,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C132,1uF/10V,SC0603-S,FIT,0201/0402按有效容量确定,优先核算小封装可用性；必须对照对应稳压器或芯片去耦要求。,候选规则，原理图/封装尚未变更
C133,4.7uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
C134,4.7uF/10V,SC0603-S,FIT,0402/0603/0805按电气要求确定,4.7~22uF 等储能电容不强制 0201；按工作电压下有效容量、纹波及电源稳定性选择。,候选规则，原理图/封装尚未变更
R103,0R VIOA=3V3,SR0402,FIT,0402或更大，先算电流/功耗,电源跳线、LED 电流通路或串联电阻，核对 I²R、额定电流及浪涌。,候选规则，原理图/封装尚未变更
C140,DNP load trim,SC0402,DNP,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C141,DNP load trim,SC0402,DNP,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C142,DNP load trim,SC0402,DNP,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
C143,DNP load trim,SC0402,DNP,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
R101,10k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
C144,100nF/10V,SC0402,FIT,0201优先候选,小容量去耦/滤波；按有效容量、ESR、介质、温漂及实际电压复核。DNP 调谐位保留合理焊盘。,候选规则，原理图/封装尚未变更
R102,10k 1%,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R110,1M,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
R111,1M,SR0402,FIT,0201优先候选,核对精度、额定电压、温升、功耗和料号供货；不是仅替换图库封装。,候选规则，原理图/封装尚未变更
